Audit Note,Extra on Amazon PDP,Matches on Amazon PDP,Missing on Amazon PDP,PDP Images,PDP Images Count,PDP PageURL,PageASIN,QueryASIN,Status,VC Images,VC Images Count,VC PageURL
"Discrepancy: 5 matches, 1 missing from Amazon, 1 extra on Amazon.",MAIN (31gElQBXzJL),PT01 (41TJ0q9sa9L); PT02 (41Kt78oWhPL); PT03 (41lsUysnw6L); PT04 (41s-MH-xrdL); PT05 (51ojp6JXWYL),MAIN (31Kz8xXj04L),"[{""large"":""https://m.media-amazon.com/images/I/31gElQBXzJL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41TJ0q9sa9L.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41lsUysnw6L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B00CPDWT2M,B00CPDWT2M,B00CPDWT2M,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/31Kz8xXj04L.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41TJ0q9sa9L.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41lsUysnw6L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B00CPDWT2M
"Discrepancy: 5 matches, 1 missing from Amazon, 1 extra on Amazon.",MAIN (31RFJ3sU48L),PT01 (41yGFZTu6fL); PT02 (41Kt78oWhPL); PT03 (41lsUysnw6L); PT04 (41s-MH-xrdL); PT05 (51ojp6JXWYL),MAIN (31byEOX7yUL),"[{""large"":""https://m.media-amazon.com/images/I/31RFJ3sU48L.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41yGFZTu6fL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41lsUysnw6L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B00IK243R6,B00IK243R6,B00IK243R6,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/31byEOX7yUL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41yGFZTu6fL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41lsUysnw6L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B00IK243R6
Perfect Match: VC and PDP images are identical.,None,MAIN (31e0pN-eLYL); PT01 (41TJ0q9sa9L); PT02 (41Kt78oWhPL); PT03 (31nOfzj2NPL); PT04 (41s-MH-xrdL); PT05 (51ojp6JXWYL),None,"[{""large"":""https://m.media-amazon.com/images/I/31e0pN-eLYL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41TJ0q9sa9L.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/31nOfzj2NPL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B00MHZTKXY,B00MHZTKXY,B00MHZTKXY,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/31e0pN-eLYL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41TJ0q9sa9L.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/31nOfzj2NPL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B00MHZTKXY
"Discrepancy: 0 matches, 6 missing from Amazon, 6 extra on Amazon.",MAIN (31hY5-aMUaL); PT01 (41lDsOvPVWL); PT02 (41bpT33QoOL); PT03 (41x4eH9+e9L); PT04 (41Z67U2hwHL); PT05 (51a3v9SHXBL),None,MAIN (31vxXEvWwwL); PT01 (41yGFZTu6fL); PT02 (41Kt78oWhPL); PT03 (31nOfzj2NPL); PT04 (41s-MH-xrdL); PT05 (51ojp6JXWYL),"[{""large"":""https://m.media-amazon.com/images/I/31hY5-aMUaL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41lDsOvPVWL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41bpT33QoOL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41x4eH9+e9L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41Z67U2hwHL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51a3v9SHXBL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B00MI5BXOM,B00MI5BXOM,B00MI5BXOM,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/31vxXEvWwwL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41yGFZTu6fL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/31nOfzj2NPL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B00MI5BXOM
"Discrepancy: 5 matches, 1 missing from Amazon, 1 extra on Amazon.",MAIN (31n97Q6LS1L),PT01 (41yFnFF6eIL); PT02 (41Kt78oWhPL); PT03 (41lsUysnw6L); PT04 (41s-MH-xrdL); PT05 (51ojp6JXWYL),MAIN (31qRFnlSgrL),"[{""large"":""https://m.media-amazon.com/images/I/31n97Q6LS1L.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41yFnFF6eIL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41lsUysnw6L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B00O690E5W,B00O690E5W,B00O690E5W,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/31qRFnlSgrL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41yFnFF6eIL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41lsUysnw6L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B00O690E5W
"Discrepancy: 5 matches, 1 missing from Amazon, 1 extra on Amazon.",MAIN (31Dn6BdPagL),PT01 (41yFnFF6eIL); PT02 (41Kt78oWhPL); PT03 (31nOfzj2NPL); PT04 (41s-MH-xrdL); PT05 (51ojp6JXWYL),MAIN (319GkS5xvZL),"[{""large"":""https://m.media-amazon.com/images/I/31Dn6BdPagL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41yFnFF6eIL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/31nOfzj2NPL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B00O69O6X8,B00O69O6X8,B00O69O6X8,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/319GkS5xvZL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41yFnFF6eIL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/31nOfzj2NPL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B00O69O6X8
"Discrepancy: 0 matches, 0 missing from Amazon, 6 extra on Amazon.",MAIN (418givhcuwL); PT01 (51HN8RxY8IL); PT02 (51zL4ezOOfL); PT03 (417nChTHiCL); PT04 (41iixnqZ7FL); PT05 (51N8WQkY98L),None,None,"[{""large"":""https://m.media-amazon.com/images/I/418givhcuwL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/51HN8RxY8IL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/51zL4ezOOfL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/417nChTHiCL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41iixnqZ7FL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51N8WQkY98L.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B014JXJ2S4,B014JXJ2S4,B014JXJ2S4,SUCCESS,[],,https://vendorcentral.amazon.com/imaging/manage?asins=B014JXJ2S4
"Discrepancy: 4 matches, 2 missing from Amazon, 2 extra on Amazon.",MAIN (31oUWuIxskL); PT02 (41cGjtJOeHL),PT01 (41TJ0q9sa9L); PT03 (41yoPwRvmIL); PT04 (41s-MH-xrdL); PT05 (51ojp6JXWYL),MAIN (31sQOB7cs6L); PT02 (41Kt78oWhPL),"[{""large"":""https://m.media-amazon.com/images/I/31oUWuIxskL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41TJ0q9sa9L.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41cGjtJOeHL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41yoPwRvmIL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B014JY9E9U,B014JY9E9U,B014JY9E9U,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/31sQOB7cs6L.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41TJ0q9sa9L.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Kt78oWhPL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41yoPwRvmIL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41s-MH-xrdL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51ojp6JXWYL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B014JY9E9U
"Discrepancy: 0 matches, 0 missing from Amazon, 6 extra on Amazon.",MAIN (41T9U22xIML); PT01 (41ph8s-7WpL); PT02 (51zL4ezOOfL); PT03 (417nChTHiCL); PT04 (41iixnqZ7FL); PT05 (51N8WQkY98L),None,None,"[{""large"":""https://m.media-amazon.com/images/I/41T9U22xIML.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41ph8s-7WpL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/51zL4ezOOfL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/417nChTHiCL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41iixnqZ7FL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51N8WQkY98L.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B01725LZHC,B01725LZHC,B01725LZHC,SUCCESS,[],,https://vendorcentral.amazon.com/imaging/manage?asins=B01725LZHC
"Discrepancy: 0 matches, 0 missing from Amazon, 6 extra on Amazon.",MAIN (4140hXK1qRL); PT01 (41juYHOJAdL); PT02 (51zL4ezOOfL); PT03 (417nChTHiCL); PT04 (41iixnqZ7FL); PT05 (51N8WQkY98L),None,None,"[{""large"":""https://m.media-amazon.com/images/I/4140hXK1qRL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41juYHOJAdL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/51zL4ezOOfL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/417nChTHiCL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41iixnqZ7FL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51N8WQkY98L.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B01725U0QE,B01725U0QE,B01725U0QE,SUCCESS,[],,https://vendorcentral.amazon.com/imaging/manage?asins=B01725U0QE
